text,where,bg,cs,da,de,el,es,fi,fr,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,pt-BR,ro,ru,sk,sr,sv,th,tr,uk,vi,zh
Practise a deck,tools/site/build_hero.py docs/_includes/pages/home.html,Упражнявайте тесте,Procvičte balíček,Træn en bunke,Ein Deck üben,Εξάσκηση σε σετ καρτών,Practica con un mazo,Harjoittele pakkaa,S'entraîner avec un paquet,एक डेक का अभ्यास करें,Vježbajte špil,Gyakorolj egy paklit,Latih dek,Esercitati con un mazzo,デッキを練習,덱 연습하기,Berlatih dengan satu set kad,Øv på en bunke,Oefen een leerset,Ćwicz talię,Pratique um baralho,Pratique um baralho,Exersează un pachet,Практикуйте колоды,Precvičte balíček,Вежбајте шпил,Öva på en kortlek,ฝึกด้วยชุดการ์ด,Deste pratik yapın,Практика колоди,Luyện tập bộ thẻ,练习词卡组
Read real texts,tools/site/build_hero.py,Четете истински текстове,Čtěte skutečné texty,Læs rigtige tekster,Echte Texte lesen,Διαβάστε πραγματικά κείμενα,Lee textos reales,Lue oikeita tekstejä,Lisez de vrais textes,वास्तविक पाठ पढ़ें,Čitajte prave tekstove,Olvass valódi szövegeket,Baca teks asli,Leggi testi reali,実際の文章を読む,실제 텍스트 읽기,Baca teks sebenar,Les ekte tekster,Lees authentieke teksten,Czytaj prawdziwe teksty,Leia textos a sério,Leia textos de verdade,Citește texte adevărate,Читайте реальные тексты,Čítajte skutočné texty,Читајте праве текстове,Läs riktiga texter,อ่านข้อความจริง,Gerçek metinler okuyun,Читайте справжні тексти,Đọc văn bản thực tế,阅读真实文本
See all features,tools/site/build_hero.py,Вижте всички възможности,Zobrazit všechny funkce,Se alle funktioner,Alle Funktionen anzeigen,Δείτε όλα τα χαρακτηριστικά,Ver todas las características,Katso kaikki ominaisuudet,Voir toutes les fonctionnalités,सभी सुविधाएं देखें,Pogledajte sve značajke,Nézd meg az összes funkciót,Lihat semua fitur,Vedi tutte le funzionalità,すべての機能を見る,모든 기능 보기,Lihat semua ciri,Se alle funksjonene,Bekijk alle functies,Zobacz wszystkie funkcje,Ver todas as funcionalidades,Ver todos os recursos,Vezi toate funcțiile,Все функции,Zobraziť všetky funkcie,Погледајте све могућности,Se alla funktioner,ดูฟีเจอร์ทั้งหมด,Tüm özellikleri görün,Усі можливості,Xem tất cả tính năng,查看所有功能
E-reader,docs/_includes/i18n-js.html docs/_includes/nav.html docs/_includes/pages/download.html,Електронен четец,Čtečka,E-bogslæser,E-Reader,E-reader,E-reader,Lukulaite,Liseuse,ई-रीडर,E-čitač,E-könyv-olvasó,E-reader,E-reader,電子書籍リーダー,전자책 리더,Pembaca e-buku,E-bokleser,E-reader,E-czytnik,Leitor de livros digitais,Leitor de e-books,E-reader,Читалка,Čítačka,Е-читач,E-läsare,เครื่องอ่านอีบุ๊ก,E-okuyucu,Е-читач,Máy đọc sách,电子书阅读器
Phone,docs/_includes/i18n-js.html,Телефон,Telefon,Telefon,Smartphone,Κινητό,Móvil,Puhelin,Téléphone,फ़ोन,Mobitel,Telefon,Ponsel,Telefono,スマートフォン,휴대폰,Telefon,Telefon,Telefoon,Telefon,Telemóvel,Celular,Telefon,Смартфон,Telefón,Телефон,Mobil,มือถือ,Telefon,Смартфон,Điện thoại,手机
"your whole vocabulary, on your computer",docs/_includes/i18n-js.html,целият ви речник — на компютъра,celá vaše slovní zásoba — v počítači,hele dit ordforråd — på computeren,"Ihr ganzes Vokabular, auf dem Computer","όλο το λεξιλόγιό σας, στον υπολογιστή σας","todo tu vocabulario, en tu ordenador",koko sanastosi — tietokoneellasi,"tout votre vocabulaire, sur votre ordinateur","आपकी पूरी शब्दावली, आपके कंप्यूटर पर",cijeli vaš vokabular — na računalu,a teljes szókincsed — a számítógépeden,"seluruh kosakata Anda, di komputer Anda","tutto il tuo vocabolario, sul tuo computer",語彙のすべてを、パソコンで,내 모든 어휘를 컴퓨터에서,seluruh kosa kata anda — pada komputer,hele ordforrådet ditt — på datamaskinen,"je hele woordenschat, op je computer","całe Twoje słownictwo, na komputerze",todo o seu vocabulário — no computador,todo o seu vocabulário — no computador,tot vocabularul tău — pe computer,весь ваш словарный запас на компьютере,celá vaša slovná zásoba — v počítači,цео ваш речник — на рачунару,"hela ditt ordförråd, på datorn",คลังคำศัพท์ทั้งหมดของคุณ — อยู่บนคอมพิวเตอร์,"tüm kelimeleriniz, bilgisayarınızda",увесь ваш словниковий запас на комп’ютері,"toàn bộ vốn từ vựng của bạn, trên máy tính",全部词汇，尽在电脑上
save words straight from the book you are reading,docs/_includes/i18n-js.html,"запазвайте думи направо от книгата, която четете","ukládejte slova rovnou z knihy, kterou čtete","gem ord direkte fra den bog, du sidder med","Wörter direkt aus dem Buch speichern, das Sie gerade lesen",αποθηκεύστε λέξεις κατευθείαν από το βιβλίο που διαβάζετε,guarda palabras directamente del libro que estás leyendo,"tallenna sanoja suoraan kirjasta, jota luet",enregistrez des mots directement depuis le livre que vous lisez,"जो किताब पढ़ रहे हैं, उसी से सीधे शब्द सहेजें",spremajte riječi ravno iz knjige koju čitate,"ments szavakat egyenesen abból a könyvből, amit olvasol",simpan kata langsung dari buku yang sedang Anda baca,salva parole direttamente dal libro che stai leggendo,読んでいる本から、そのまま単語を保存,읽고 있는 책에서 바로 단어 저장,simpan perkataan terus daripada buku yang sedang anda baca,lagre ord rett fra boka du sitter med,sla woorden op rechtstreeks uit het boek dat je leest,zapisuj słowa prosto z czytanej książki,guarde palavras diretamente do livro que está a ler,salve palavras direto do livro que você está lendo,salvează cuvinte direct din cartea pe care o citești,"сохраняйте слова прямо из книги, которую читаете","ukladajte slová rovno z knihy, ktorú čítate",чувајте речи право из књиге коју читате,spara ord direkt från boken du läser,บันทึกคำได้จากหนังสือที่กำลังอ่านโดยตรง,okuduğunuz kitaptan doğrudan kelime kaydedin,"зберігайте слова просто з книжки, яку читаєте",lưu từ ngay từ cuốn sách bạn đang đọc,从正在读的书里直接存词
"review anywhere, in your pocket",docs/_includes/i18n-js.html,"преговаряйте навсякъде, право от джоба","opakujte kdekoli, přímo z kapsy","repetér hvor som helst, lige fra lommen","überall wiederholen, direkt in der Tasche","επανάληψη οπουδήποτε, μέσα στην τσέπη σας","repasa donde quieras, en tu bolsillo","kertaa missä vain, suoraan taskusta","révisez partout, dans votre poche","कहीं भी दोहराएँ, आपकी जेब में","ponavljajte bilo gdje, ravno iz džepa","ismételj bárhol, egyenesen a zsebedből","ulangi di mana saja, cukup dari saku Anda","ripassa ovunque, direttamente in tasca",どこでも復習、ポケットの中で,"어디서나 복습, 주머니 속에서","ulang kaji di mana-mana, terus dari poket","repeter hvor som helst, rett fra lomma","overal herhalen, gewoon op zak","powtarzaj wszędzie, prosto z kieszeni","reveja onde quiser, mesmo a partir do bolso","revise em qualquer lugar, direto do bolso","recapitulează oriunde, direct din buzunar","повторяйте где угодно, прямо в кармане","opakujte kdekoľvek, priamo z vrecka","понављајте било где, право из џепа","repetera var som helst, direkt i fickan",ทบทวนได้ทุกที่ ตรงจากกระเป๋าเสื้อ,"cebinizde, her yerde tekrar edin","повторюйте будь-де, просто в кишені","ôn tập mọi nơi, ngay trong túi bạn",随时随地复习，就在口袋里
Pick a device to look closer,docs/_includes/i18n-js.html,"Изберете устройство, за да го разгледате отблизо",Vyberte zařízení a prohlédněte si ho zblízka,Vælg en enhed for at se den tættere på,"Wählen Sie ein Gerät, um es näher anzusehen",Επιλέξτε μια συσκευή για να δείτε από κοντά,Elige un dispositivo para verlo de cerca,"Valitse laite, niin näet sen lähempää",Choisissez un appareil pour le voir de plus près,करीब से देखने के लिए कोई डिवाइस चुनें,Odaberite uređaj da ga pogledate izbliza,"Válassz egy eszközt, hogy közelebbről is megnézd",Pilih perangkat untuk melihat lebih dekat,Scegli un dispositivo per guardarlo da vicino,デバイスを選ぶと詳しく見られます,기기를 선택하면 자세히 볼 수 있습니다,Pilih peranti untuk melihatnya dengan lebih dekat,Velg en enhet for å se nærmere på den,Kies een apparaat om het van dichtbij te bekijken,"Wybierz urządzenie, aby przyjrzeć się z bliska",Escolha um dispositivo para o ver de perto,Escolha um dispositivo para vê-lo de perto,Alege un dispozitiv ca să-l vezi de aproape,"Выберите устройство, чтобы рассмотреть поближе",Vyberte zariadenie a pozrite si ho zblízka,Изаберите уређај да га погледате изблиза,Välj en enhet för att titta närmare,เลือกอุปกรณ์เพื่อดูใกล้ ๆ,Yakından bakmak için bir cihaz seçin,"Оберіть пристрій, щоб роздивитися",Chọn một thiết bị để xem gần hơn,选择一台设备，看得更清楚
Open full size,docs/_includes/i18n-js.html,Отваряне в пълен размер,Otevřít v plné velikosti,Åbn i fuld størrelse,In voller Größe öffnen,Άνοιγμα σε πλήρες μέγεθος,Abrir a tamaño completo,Avaa täysikokoisena,Ouvrir en taille réelle,पूरे आकार में खोलें,Otvori u punoj veličini,Megnyitás teljes méretben,Buka ukuran penuh,Apri a dimensione intera,原寸で開く,원본 크기로 열기,Buka bersaiz penuh,Åpne i full størrelse,Op ware grootte openen,Otwórz w pełnym rozmiarze,Abrir em tamanho real,Abrir em tamanho real,Deschide la dimensiune completă,Открыть в полном размере,Otvoriť v plnej veľkosti,Отвори у пуној величини,Öppna i full storlek,เปิดขนาดเต็ม,Tam boyutta aç,Відкрити на весь екран,Mở kích thước đầy đủ,查看原图
Close,docs/_includes/i18n-js.html docs/_includes/signin-dialog.html,Затваряне,Zavřít,Luk,Schließen,Κλείσιμο,Cerrar,Sulje,Fermer,बंद करें,Zatvori,Bezárás,Tutup,Chiudi,閉じる,닫기,Tutup,Lukk,Sluiten,Zamknij,Fechar,Fechar,Închide,Закрыть,Zavrieť,Затвори,Stäng,ปิด,Kapat,Закрити,Đóng,关闭
Previous,docs/_includes/i18n-js.html,Назад,Předchozí,Forrige,Zurück,Προηγούμενο,Anterior,Edellinen,Précédent,पिछला,Prethodno,Előző,Sebelumnya,Precedente,前へ,이전,Sebelumnya,Forrige,Vorige,Poprzedni,Anterior,Anterior,Anterior,Назад,Predchádzajúce,Претходно,Föregående,ก่อนหน้า,Önceki,Попередній,Trước,上一张
Next,docs/_includes/i18n-js.html,Напред,Další,Næste,Weiter,Επόμενο,Siguiente,Seuraava,Suivant,अगला,Sljedeće,Következő,Berikutnya,Successivo,次へ,다음,Seterusnya,Neste,Volgende,Następny,Seguinte,Próximo,Următor,Вперёд,Ďalšie,Следеће,Nästa,ถัดไป,Sonraki,Наступний,Tiếp,下一张
Support,docs/_includes/nav.html,Поддръжка,Podpora,Support,Support,Υποστήριξη,Soporte,Tuki,Support,सहायता,Podrška,Támogatás,Dukungan,Supporto,サポート,지원,Sokongan,Støtte,Ondersteuning,Wsparcie,Apoio,Suporte,Asistență,Поддержка,Podpora,Подршка,Support,ฝ่ายสนับสนุน,Destek,Підтримати,Hỗ trợ,技术支持
